trade_id,prediction_date,ticker,model_regime,direction,entry_price,stop_loss,take_profit,lots,size_pct,confidence,status,close_date,close_price,pnl
20251110202020-zc_f,2025-11-10,ZC=F,zc_f,BULLISH,429.750000,420.107143,444.214286,0.16,57.61%,57.61 (>= 50),CLOSED (EXPIRED),2025-11-18,433.75,32.0
20251110202020-eurusd_x,2025-11-10,EURUSD=X,eurusd_x,BULLISH,1.156337,1.147526,1.169553,0.03,52.32%,52.32 (>= 50),CLOSED (EXPIRED),2025-11-18,1.160227,11.67
20251110202020-jpyusd_x_low_vix,2025-11-10,JPYUSD=X,jpyusd_x_low_vix,BULLISH,0.006496,0.006417,0.006615,5.07,54.01%,54.01 (>= 50),CLOSED (EXPIRED),2025-11-18,0.006453,-21.87
20251110202020-nq_f_low_vix,2025-11-10,NQ=F,nq_f_low_vix,BULLISH,25648.750000,24954.276786,26690.459821,0.00,53.13%,53.13 (>= 50),CLOSED (STOP-LOSS),2025-11-18,24723.75,-0.0
20251110202555-cl_f,2025-11-10,CL=F,cl_f,BEARISH,59.980000,62.361786,56.407320,0.01,57.27%,57.27 (>= 55),CLOSED (EXPIRED),2025-11-18,59.34,6.4
20251110202555-gc_f,2025-11-10,GC=F,gc_f,BULLISH,4113.799805,4001.299805,4282.549805,0.01,65.13%,65.13 (>= 50),CLOSED (EXPIRED),2025-11-18,4010.899902,-102.9
20251110202555-zc_f,2025-11-10,ZC=F,zc_f,BULLISH,430.000000,420.357143,444.464286,0.16,57.61%,57.61 (>= 50),CLOSED (EXPIRED),2025-11-18,433.75,30.0
20251110202555-eurusd_x,2025-11-10,EURUSD=X,eurusd_x,BULLISH,1.156470,1.147660,1.169686,0.03,52.32%,52.32 (>= 50),CLOSED (EXPIRED),2025-11-18,1.160227,11.27
20251110202555-jpyusd_x_low_vix,2025-11-10,JPYUSD=X,jpyusd_x_low_vix,BULLISH,0.006495,0.006416,0.006614,5.07,54.01%,54.01 (>= 50),CLOSED (EXPIRED),2025-11-18,0.006453,-21.36
20251110202555-nq_f_low_vix,2025-11-10,NQ=F,nq_f_low_vix,BULLISH,25649.750000,24955.276786,26691.459821,0.00,53.13%,53.13 (>= 50),CLOSED (STOP-LOSS),2025-11-18,24723.75,-0.0
20251110204021-cl_f,2025-11-10,CL=F,cl_f,BEARISH,59.970001,62.351787,56.397322,0.01,57.27%,57.27 (>= 55),CLOSED (EXPIRED),2025-11-18,59.34,6.3
20251110204021-gc_f,2025-11-10,GC=F,gc_f,BULLISH,4122.200195,4008.864502,4292.203735,0.01,65.13%,65.13 (>= 50),CLOSED (EXPIRED),2025-11-18,4010.899902,-111.3
20251110204021-zc_f,2025-11-10,ZC=F,zc_f,BULLISH,430.500000,420.776786,445.084821,0.16,57.61%,57.61 (>= 50),CLOSED (EXPIRED),2025-11-18,433.75,26.0
20251110204021-eurusd_x,2025-11-10,EURUSD=X,eurusd_x,BULLISH,1.156337,1.147526,1.169553,0.03,52.32%,52.32 (>= 50),CLOSED (EXPIRED),2025-11-18,1.160227,11.67
20251110204021-jpyusd_x_low_vix,2025-11-10,JPYUSD=X,jpyusd_x_low_vix,BULLISH,0.006494,0.006414,0.006612,5.07,54.01%,54.01 (>= 50),CLOSED (EXPIRED),2025-11-18,0.006453,-20.86
20251110204021-nq_f_low_vix,2025-11-10,NQ=F,nq_f_low_vix,BULLISH,25637.250000,24942.776786,26678.959821,0.00,53.13%,53.13 (>= 50),CLOSED (STOP-LOSS),2025-11-18,24723.75,-0.0
20251113102722-cl_f,2025-11-13,CL=F,cl_f,BEARISH,58.360001,60.447144,55.229286,0.00,65.23%,65.23 (>= 65),OPEN,,,
20251113102722-gc_f,2025-11-13,GC=F,gc_f,BULLISH,4236.500000,4134.489275,4389.516087,0.00,53.50%,53.50 (>= 50),CLOSED (STOP-LOSS),2025-11-17,4059.300049,-0.0
20251113102722-si_f,2025-11-13,SI=F,si_f,BEARISH,54.250000,55.965572,51.676642,0.01,66.31%,66.31 (>= 55),CLOSED (TAKE-PROFIT),2025-11-17,50.445,190.25
